user_id,book_id,genre,rating,item,user
173,6,"classics, fiction, fantasy, contemporary, mystery, paranormal",5.0,1,1
173,34,"fiction, classics, fantasy, ebooks",1.0,2,1
173,106,"classics, science, fiction, fantasy, philosophy, ebooks, religion",2.0,3,1
173,112,"science, ebooks, religion, philosophy, classics, fantasy, fiction",5.0,4,1
173,249,"ebooks, fiction, classics, contemporary, romance, memoir",4.0,5,1
173,250,"ebooks, romance, biography, fiction, contemporary, classics",4.0,6,1
173,291,"religion, ebooks, spirituality, romance, philosophy, fantasy, classics, poetry",4.0,7,1
173,320,"romance, contemporary, fiction, classics",5.0,8,1
173,357,"fiction, contemporary, classics, crime, science, ebooks, mystery, fantasy",3.0,9,1
173,968,"religion, fantasy, history, art, romance, ebooks, classics, mystery, suspense, contemporary, thriller, fiction",2.0,10,1
173,1990,"history, romance, ebooks, fiction, classics",4.0,11,1
173,6613,"ebooks, fiction, romance, contemporary",5.0,12,1
274,249,"ebooks, contemporary, romance, memoir, classics, fiction",5.0,5,2
274,291,"romance, poetry, classics, philosophy, religion, fantasy, ebooks, spirituality",4.0,7,2
274,597,"fiction, contemporary, history, ebooks, biography, music, nonfiction, memoir, travel",5.0,13,2
274,599,"nonfiction, music, fiction, memoir, contemporary, philosophy, history, science, biography, sports, psychology",5.0,14,2
274,816,"mystery, contemporary, ebooks, fantasy, science, history, thriller, fiction",4.0,15,2
274,840,"business, classics, philosophy, nonfiction, science, psychology, art, history",4.0,16,2
274,1319,"philosophy, business, art, spirituality, nonfiction, music, psychology, ebooks, fiction",5.0,17,2
274,2002,"paranormal, fiction, fantasy",5.0,18,2
274,3388,"ebooks, classics, music, fiction, history, contemporary",5.0,19,2
274,4516,"horror, fiction, mystery, fantasy, romance, thriller, contemporary, suspense, paranormal, ebooks",5.0,20,2
274,5553,"classics, science, nonfiction, philosophy, biography, ebooks",4.0,21,2
314,1,"fiction, classics, paranormal, mystery, romance, contemporary, fantasy",5.0,22,3
314,3,"classics, paranormal, mystery, contemporary, fiction, fantasy",3.0,23,3
314,5,"contemporary, mystery, paranormal, classics, fiction, fantasy",4.0,24,3
314,6,"fantasy, contemporary, mystery, paranormal, classics, fiction",5.0,1,3
314,29,"contemporary, ebooks, history, nonfiction",3.0,25,3
314,30,"fiction, fantasy, classics",4.0,26,3
314,36,"fantasy, art, fiction, nonfiction, science",4.0,27,3
314,98,"nonfiction, ebooks",3.0,28,3
314,105,"fiction, fantasy, classics, science, ebooks, religion, philosophy",3.0,29,3
314,106,"religion, ebooks, philosophy, science, classics, fantasy, fiction",4.0,3,3
314,343,"history, suspense, contemporary, fantasy, crime, mystery, horror, classics, fiction, thriller",3.0,30,3
314,348,"science, classics, fantasy, fiction, travel, ebooks, romance",4.0,31,3
314,428,"contemporary, memoir, fiction, classics",3.0,32,3
314,760,"fiction, classics, romance, contemporary, ebooks",4.0,33,3
314,976,"romance, science, fantasy, ebooks, contemporary, crime, suspense, mystery, thriller, fiction",3.0,34,3
314,2054,"suspense, ebooks, thriller, classics, crime, fiction, mystery",3.0,35,3
314,6174,"history, philosophy, religion, psychology, classics, memoir, ebooks, horror, biography",2.0,36,3
363,1067,"history, nonfiction, biography, classics, ebooks, fiction",3.0,37,4
363,1232,"contemporary, fiction, mystery, fantasy, romance, thriller, suspense, classics, history, crime, ebooks",3.0,38,4
363,1617,"memoir, religion, horror, contemporary, biography, philosophy, nonfiction, fiction, classics, history",2.0,39,4
363,1627,"fiction, romance, contemporary, ebooks, classics",3.0,40,4
363,2054,"suspense, fiction, crime, classics, thriller, ebooks, mystery",3.0,35,4
363,2094,"nonfiction, science, history, philosophy, classics, fiction, ebooks",3.0,41,4
363,3109,"ebooks, philosophy, history, science, nonfiction, cookbooks, memoir",2.0,42,4
363,3876,"classics, fiction, travel, romance, history",3.0,43,4
363,4137,"nonfiction, memoir, contemporary, biography, fiction, ebooks",2.0,44,4
363,5166,"mystery, suspense, contemporary, fiction",2.0,45,4
363,5167,"biography, history, fiction, memoir, classics, ebooks",4.0,46,4
368,34,"ebooks, fiction, classics, fantasy",4.0,2,5
368,249,"ebooks, memoir, fiction, romance, classics, contemporary",2.0,5,5
368,291,"poetry, classics, philosophy, romance, spirituality, ebooks, fantasy, religion",2.0,7,5
368,295,"fiction, fantasy, ebooks, history, thriller, classics",3.0,47,5
368,304,"ebooks, religion, fiction, romance, classics",3.0,48,5
368,360,"fiction, fantasy, classics, ebooks, science",4.0,49,5
368,432,"crime, classics, philosophy, thriller, comics, mystery, fiction, contemporary",3.0,50,5
368,825,"crime, suspense, contemporary, ebooks, fantasy, science, mystery, thriller, fiction, horror",3.0,51,5
368,930,"fiction, biography, memoir, history, contemporary, classics, romance",3.0,52,5
368,1319,"music, spirituality, philosophy, psychology, business, art, nonfiction, fiction, ebooks",4.0,17,5
368,3759,"mystery, ebooks, suspense, classics, fiction, crime, thriller",3.0,53,5
368,6327,"paranormal, horror, classics, fiction, fantasy",3.0,54,5
368,8676,"nonfiction, psychology, philosophy, spirituality, business",4.0,55,5
439,1,"romance, contemporary, classics, paranormal, fiction, mystery, fantasy",3.0,22,6
439,11,"fiction, classics, science, ebooks, contemporary, fantasy",4.0,56,6
439,27,"fiction, contemporary, ebooks, history, memoir, nonfiction, travel, biography",5.0,57,6
439,33,"fantasy, classics, fiction, ebooks",3.0,58,6
439,67,"history, ebooks, classics, contemporary, fiction",4.0,59,6
439,93,"classics, fiction, ebooks",3.0,60,6
439,98,"nonfiction, ebooks",3.0,28,6
439,117,"philosophy, religion, ebooks, science, classics, fiction, fantasy",4.0,61,6
439,378,"classics, fiction, fantasy",3.0,62,6
439,431,"mystery, contemporary, crime, thriller, ebooks, classics, fiction",3.0,63,6
439,662,"contemporary, fantasy, romance, mystery, ebooks, science, business, philosophy, fiction, classics",3.0,64,6
439,825,"thriller, mystery, science, fantasy, ebooks, suspense, contemporary, crime, horror, fiction",3.0,51,6
439,840,"philosophy, science, psychology, nonfiction, business, art, history, classics",4.0,16,6
439,1005,"nonfiction, business, spirituality, ebooks, classics",3.0,65,6
439,4473,"religion, contemporary, classics, fiction, ebooks",2.0,66,6
439,5932,"classics, nonfiction, poetry, romance, fiction",4.0,67,6
588,1,"romance, paranormal, mystery, contemporary, fantasy, fiction, classics",5.0,22,7
588,3,"contemporary, fantasy, mystery, fiction, classics, paranormal",1.0,23,7
588,8,"paranormal, classics, thriller, contemporary, mystery, fantasy, fiction",3.0,68,7
588,11,"contemporary, ebooks, fiction, fantasy, classics, science",4.0,56,7
588,21,"fiction, travel, ebooks, philosophy, science, nonfiction, history",4.0,69,7
588,24,"nonfiction, memoir, history, biography, fiction, ebooks, contemporary, travel",4.0,70,7
588,25,"nonfiction, memoir, travel, contemporary, science, ebooks, fiction, history, biography",5.0,71,7
588,26,"history, travel, memoir, biography, fiction, ebooks, contemporary, nonfiction",3.0,72,7
588,27,"travel, nonfiction, memoir, biography, ebooks, history, contemporary, fiction",4.0,57,7
588,29,"ebooks, nonfiction, history, contemporary",3.0,25,7
588,33,"classics, fantasy, ebooks, fiction",3.0,58,7
588,50,"fiction, classics, contemporary",3.0,73,7
588,67,"fiction, history, contemporary, classics, ebooks",4.0,59,7
588,112,"fiction, fantasy, classics, science, ebooks, religion, philosophy",3.0,4,7
588,122,"memoir, fiction, classics, history, sports, contemporary",5.0,74,7
588,231,"romance, contemporary, fiction",2.0,75,7
588,249,"classics, fiction, memoir, romance, ebooks, contemporary",4.0,5,7
588,264,"romance, ebooks, fiction, classics",4.0,76,7
588,320,"contemporary, romance, fiction, classics",3.0,8,7
588,378,"fantasy, fiction, classics",4.0,62,7
588,446,"classics, fiction, contemporary, romance",4.0,77,7
588,662,"contemporary, business, philosophy, classics, fiction, fantasy, romance, mystery, ebooks, science",4.0,64,7
588,4630,"fiction, classics, crime",4.0,78,7
725,6,"classics, paranormal, mystery, contemporary, fiction, fantasy",5.0,1,8
725,30,"classics, fantasy, fiction",4.0,26,8
725,98,"nonfiction, ebooks",4.0,28,8
725,105,"science, ebooks, religion, philosophy, fiction, fantasy, classics",3.0,29,8
725,106,"religion, science, classics, fantasy, fiction, ebooks, philosophy",4.0,3,8
725,275,"fiction, romance, memoir, contemporary, classics, biography, ebooks",4.0,79,8
725,291,"poetry, classics, philosophy, romance, spirituality, ebooks, religion, fantasy",5.0,7,8
725,295,"thriller, classics, fiction, fantasy, ebooks, history",5.0,47,8
725,320,"romance, classics, fiction, contemporary",4.0,8,8
725,668,"romance, contemporary, ebooks, classics, fiction, history, philosophy",4.0,80,8
725,771,"nonfiction, philosophy, ebooks, history, science",3.0,81,8
725,1427,"philosophy, fiction, mystery, religion, travel, fantasy, romance, contemporary, classics, ebooks, spirituality",4.0,82,8
725,1845,"ebooks, philosophy, contemporary, history, fiction, memoir, classics, travel, biography, nonfiction",5.0,83,8
951,50,"contemporary, classics, fiction",5.0,73,9
951,117,"classics, science, philosophy, religion, fiction, fantasy, ebooks",5.0,61,9
951,119,"science, classics, fantasy, art, nonfiction, fiction",5.0,84,9
951,122,"memoir, sports, contemporary, history, classics, fiction",4.0,74,9
951,357,"fiction, fantasy, mystery, ebooks, science, crime, classics, contemporary",3.0,9,9
951,360,"ebooks, fiction, fantasy, classics, science",4.0,49,9
951,400,"history, fiction, classics, contemporary, crime, thriller, biography",5.0,85,9
951,424,"fiction, memoir, travel, biography, nonfiction, philosophy, history, contemporary, classics",5.0,86,9
951,446,"contemporary, classics, romance, fiction",4.0,77,9
951,456,"romance, philosophy, thriller, crime, mystery, contemporary, fiction",5.0,87,9
951,599,"science, psychology, sports, biography, nonfiction, philosophy, contemporary, fiction, memoir, music, history",4.0,14,9
951,621,"business, nonfiction, psychology",4.0,88,9
951,1519,"fiction, classics, philosophy, poetry, history, fantasy",5.0,89,9
951,1624,"ebooks, fiction, classics, history, travel, nonfiction, biography, memoir",4.0,90,9
951,2095,"history, philosophy, nonfiction, science, ebooks",5.0,91,9
951,2199,"ebooks, business, nonfiction, biography, history",5.0,92,9
951,3764,"ebooks, suspense, crime, classics, mystery, thriller, fiction",5.0,93,9
951,5306,"classics, memoir, nonfiction, biography, fiction, history, travel",3.0,94,9
951,5358,"fiction, thriller, mystery, suspense, ebooks, contemporary, crime",3.0,95,9
997,706,"nonfiction, biography, fiction, history",3.0,96,10
997,1362,"travel, fiction, history, classics, nonfiction, philosophy",3.0,97,10
997,1420,"ebooks, fantasy, romance, poetry, fiction, classics",3.0,98,10
997,2199,"business, biography, nonfiction, ebooks, history",4.0,92,10
997,2873,"fantasy, ebooks, classics, romance, religion, mystery, art, fiction, contemporary, history",5.0,99,10
997,3291,"contemporary, classics, fantasy, romance, ebooks, fiction",5.0,100,10
997,3717,"science, travel, ebooks, biography, contemporary, fiction",4.0,101,10
997,4004,"philosophy, fiction, spirituality, nonfiction, romance, classics, travel, religion, contemporary, ebooks, biography, fantasy, memoir",4.0,102,10
997,5826,"romance, music, fiction, contemporary, classics, suspense, mystery",4.0,103,10
997,9549,"ebooks, science, fantasy, fiction",3.0,104,10
1115,870,"mystery, fantasy, manga, fiction, comics, romance",4.0,105,11
1115,900,"contemporary, philosophy, fiction, biography, nonfiction, memoir, romance, ebooks, psychology, business",4.0,106,11
1115,2175,"classics, fiction, romance, ebooks",3.0,107,11
1115,2187,"fiction, history, classics, contemporary",4.0,108,11
1115,3581,"classics, mystery, fiction, crime, suspense, ebooks, thriller",3.0,109,11
