user,item,rating,genre
1,1,5.0,"classics, fiction, fantasy, contemporary, mystery, paranormal"
1,2,1.0,"fiction, classics, fantasy, ebooks"
1,3,2.0,"classics, science, fiction, fantasy, philosophy, ebooks, religion"
1,4,5.0,"science, ebooks, religion, philosophy, classics, fantasy, fiction"
1,5,4.0,"ebooks, fiction, classics, contemporary, romance, memoir"
1,6,4.0,"ebooks, romance, biography, fiction, contemporary, classics"
1,7,4.0,"religion, ebooks, spirituality, romance, philosophy, fantasy, classics, poetry"
1,8,5.0,"romance, contemporary, fiction, classics"
1,9,3.0,"fiction, contemporary, classics, crime, science, ebooks, mystery, fantasy"
1,10,2.0,"religion, fantasy, history, art, romance, ebooks, classics, mystery, suspense, contemporary, thriller, fiction"
1,11,4.0,"history, romance, ebooks, fiction, classics"
1,12,5.0,"ebooks, fiction, romance, contemporary"
2,5,5.0,"ebooks, contemporary, romance, memoir, classics, fiction"
2,7,4.0,"romance, poetry, classics, philosophy, religion, fantasy, ebooks, spirituality"
2,13,5.0,"fiction, contemporary, history, ebooks, biography, music, nonfiction, memoir, travel"
2,14,5.0,"nonfiction, music, fiction, memoir, contemporary, philosophy, history, science, biography, sports, psychology"
2,15,4.0,"mystery, contemporary, ebooks, fantasy, science, history, thriller, fiction"
2,16,4.0,"business, classics, philosophy, nonfiction, science, psychology, art, history"
2,17,5.0,"philosophy, business, art, spirituality, nonfiction, music, psychology, ebooks, fiction"
2,18,5.0,"paranormal, fiction, fantasy"
2,19,5.0,"ebooks, classics, music, fiction, history, contemporary"
2,20,5.0,"horror, fiction, mystery, fantasy, romance, thriller, contemporary, suspense, paranormal, ebooks"
2,21,4.0,"classics, science, nonfiction, philosophy, biography, ebooks"
3,22,5.0,"fiction, classics, paranormal, mystery, romance, contemporary, fantasy"
3,23,3.0,"classics, paranormal, mystery, contemporary, fiction, fantasy"
3,24,4.0,"contemporary, mystery, paranormal, classics, fiction, fantasy"
3,1,5.0,"fantasy, contemporary, mystery, paranormal, classics, fiction"
3,25,3.0,"contemporary, ebooks, history, nonfiction"
3,26,4.0,"fiction, fantasy, classics"
3,27,4.0,"fantasy, art, fiction, nonfiction, science"
3,28,3.0,"nonfiction, ebooks"
3,29,3.0,"fiction, fantasy, classics, science, ebooks, religion, philosophy"
3,3,4.0,"religion, ebooks, philosophy, science, classics, fantasy, fiction"
3,30,3.0,"history, suspense, contemporary, fantasy, crime, mystery, horror, classics, fiction, thriller"
3,31,4.0,"science, classics, fantasy, fiction, travel, ebooks, romance"
3,32,3.0,"contemporary, memoir, fiction, classics"
3,33,4.0,"fiction, classics, romance, contemporary, ebooks"
3,34,3.0,"romance, science, fantasy, ebooks, contemporary, crime, suspense, mystery, thriller, fiction"
3,35,3.0,"suspense, ebooks, thriller, classics, crime, fiction, mystery"
3,36,2.0,"history, philosophy, religion, psychology, classics, memoir, ebooks, horror, biography"
4,37,3.0,"history, nonfiction, biography, classics, ebooks, fiction"
4,38,3.0,"contemporary, fiction, mystery, fantasy, romance, thriller, suspense, classics, history, crime, ebooks"
4,39,2.0,"memoir, religion, horror, contemporary, biography, philosophy, nonfiction, fiction, classics, history"
4,40,3.0,"fiction, romance, contemporary, ebooks, classics"
4,35,3.0,"suspense, fiction, crime, classics, thriller, ebooks, mystery"
4,41,3.0,"nonfiction, science, history, philosophy, classics, fiction, ebooks"
4,42,2.0,"ebooks, philosophy, history, science, nonfiction, cookbooks, memoir"
4,43,3.0,"classics, fiction, travel, romance, history"
4,44,2.0,"nonfiction, memoir, contemporary, biography, fiction, ebooks"
4,45,2.0,"mystery, suspense, contemporary, fiction"
4,46,4.0,"biography, history, fiction, memoir, classics, ebooks"
5,2,4.0,"ebooks, fiction, classics, fantasy"
5,5,2.0,"ebooks, memoir, fiction, romance, classics, contemporary"
5,7,2.0,"poetry, classics, philosophy, romance, spirituality, ebooks, fantasy, religion"
5,47,3.0,"fiction, fantasy, ebooks, history, thriller, classics"
5,48,3.0,"ebooks, religion, fiction, romance, classics"
5,49,4.0,"fiction, fantasy, classics, ebooks, science"
5,50,3.0,"crime, classics, philosophy, thriller, comics, mystery, fiction, contemporary"
5,51,3.0,"crime, suspense, contemporary, ebooks, fantasy, science, mystery, thriller, fiction, horror"
5,52,3.0,"fiction, biography, memoir, history, contemporary, classics, romance"
5,17,4.0,"music, spirituality, philosophy, psychology, business, art, nonfiction, fiction, ebooks"
5,53,3.0,"mystery, ebooks, suspense, classics, fiction, crime, thriller"
5,54,3.0,"paranormal, horror, classics, fiction, fantasy"
5,55,4.0,"nonfiction, psychology, philosophy, spirituality, business"
6,22,3.0,"romance, contemporary, classics, paranormal, fiction, mystery, fantasy"
6,56,4.0,"fiction, classics, science, ebooks, contemporary, fantasy"
