user,item,rating,genre
1,3,2.0,"classics, science, fiction, fantasy, philosophy, ebooks, religion"
1,4,5.0,"science, ebooks, religion, philosophy, classics, fantasy, fiction"
1,6,4.0,"ebooks, romance, biography, fiction, contemporary, classics"
1,8,5.0,"romance, contemporary, fiction, classics"
1,10,2.0,"religion, fantasy, history, art, romance, ebooks, classics, mystery, suspense, contemporary, thriller, fiction"
1,11,4.0,"history, romance, ebooks, fiction, classics"
1,12,5.0,"ebooks, fiction, romance, contemporary"
2,5,5.0,"ebooks, contemporary, romance, memoir, classics, fiction"
2,13,5.0,"fiction, contemporary, history, ebooks, biography, music, nonfiction, memoir, travel"
2,15,4.0,"mystery, contemporary, ebooks, fantasy, science, history, thriller, fiction"
2,17,5.0,"philosophy, business, art, spirituality, nonfiction, music, psychology, ebooks, fiction"
2,19,5.0,"ebooks, classics, music, fiction, history, contemporary"
2,21,4.0,"classics, science, nonfiction, philosophy, biography, ebooks"
3,22,5.0,"fiction, classics, paranormal, mystery, romance, contemporary, fantasy"
3,23,3.0,"classics, paranormal, mystery, contemporary, fiction, fantasy"
3,24,4.0,"contemporary, mystery, paranormal, classics, fiction, fantasy"
3,25,3.0,"contemporary, ebooks, history, nonfiction"
3,26,4.0,"fiction, fantasy, classics"
3,27,4.0,"fantasy, art, fiction, nonfiction, science"
3,28,3.0,"nonfiction, ebooks"
3,29,3.0,"fiction, fantasy, classics, science, ebooks, religion, philosophy"
3,30,3.0,"history, suspense, contemporary, fantasy, crime, mystery, horror, classics, fiction, thriller"
3,32,3.0,"contemporary, memoir, fiction, classics"
3,33,4.0,"fiction, classics, romance, contemporary, ebooks"
3,35,3.0,"suspense, ebooks, thriller, classics, crime, fiction, mystery"
4,37,3.0,"history, nonfiction, biography, classics, ebooks, fiction"
4,39,2.0,"memoir, religion, horror, contemporary, biography, philosophy, nonfiction, fiction, classics, history"
4,35,3.0,"suspense, fiction, crime, classics, thriller, ebooks, mystery"
4,41,3.0,"nonfiction, science, history, philosophy, classics, fiction, ebooks"
4,43,3.0,"classics, fiction, travel, romance, history"
4,45,2.0,"mystery, suspense, contemporary, fiction"
5,5,2.0,"ebooks, memoir, fiction, romance, classics, contemporary"
5,7,2.0,"poetry, classics, philosophy, romance, spirituality, ebooks, fantasy, religion"
5,47,3.0,"fiction, fantasy, ebooks, history, thriller, classics"
5,48,3.0,"ebooks, religion, fiction, romance, classics"
5,49,4.0,"fiction, fantasy, classics, ebooks, science"
5,50,3.0,"crime, classics, philosophy, thriller, comics, mystery, fiction, contemporary"
5,53,3.0,"mystery, ebooks, suspense, classics, fiction, crime, thriller"
5,54,3.0,"paranormal, horror, classics, fiction, fantasy"
6,22,3.0,"romance, contemporary, classics, paranormal, fiction, mystery, fantasy"
6,56,4.0,"fiction, classics, science, ebooks, contemporary, fantasy"
6,57,5.0,"fiction, contemporary, ebooks, history, memoir, nonfiction, travel, biography"
6,59,4.0,"history, ebooks, classics, contemporary, fiction"
6,60,3.0,"classics, fiction, ebooks"
6,28,3.0,"nonfiction, ebooks"
6,61,4.0,"philosophy, religion, ebooks, science, classics, fiction, fantasy"
6,62,3.0,"classics, fiction, fantasy"
6,51,3.0,"thriller, mystery, science, fantasy, ebooks, suspense, contemporary, crime, horror, fiction"
6,65,3.0,"nonfiction, business, spirituality, ebooks, classics"
6,66,2.0,"religion, contemporary, classics, fiction, ebooks"
7,22,5.0,"romance, paranormal, mystery, contemporary, fantasy, fiction, classics"
7,23,1.0,"contemporary, fantasy, mystery, fiction, classics, paranormal"
7,68,3.0,"paranormal, classics, thriller, contemporary, mystery, fantasy, fiction"
7,56,4.0,"contemporary, ebooks, fiction, fantasy, classics, science"
7,69,4.0,"fiction, travel, ebooks, philosophy, science, nonfiction, history"
7,70,4.0,"nonfiction, memoir, history, biography, fiction, ebooks, contemporary, travel"
7,71,5.0,"nonfiction, memoir, travel, contemporary, science, ebooks, fiction, history, biography"
7,57,4.0,"travel, nonfiction, memoir, biography, ebooks, history, contemporary, fiction"
7,25,3.0,"ebooks, nonfiction, history, contemporary"
7,58,3.0,"classics, fantasy, ebooks, fiction"
7,73,3.0,"fiction, classics, contemporary"
7,59,4.0,"fiction, history, contemporary, classics, ebooks"
7,74,5.0,"memoir, fiction, classics, history, sports, contemporary"
7,75,2.0,"romance, contemporary, fiction"
7,76,4.0,"romance, ebooks, fiction, classics"
7,77,4.0,"classics, fiction, contemporary, romance"
7,64,4.0,"contemporary, business, philosophy, classics, fiction, fantasy, romance, mystery, ebooks, science"
7,78,4.0,"fiction, classics, crime"
8,26,4.0,"classics, fantasy, fiction"
8,29,3.0,"science, ebooks, religion, philosophy, fiction, fantasy, classics"
8,7,5.0,"poetry, classics, philosophy, romance, spirituality, ebooks, religion, fantasy"
8,47,5.0,"thriller, classics, fiction, fantasy, ebooks, history"
8,8,4.0,"romance, classics, fiction, contemporary"
8,80,4.0,"romance, contemporary, ebooks, classics, fiction, history, philosophy"
8,82,4.0,"philosophy, fiction, mystery, religion, travel, fantasy, romance, contemporary, classics, ebooks, spirituality"
8,83,5.0,"ebooks, philosophy, contemporary, history, fiction, memoir, classics, travel, biography, nonfiction"
9,73,5.0,"contemporary, classics, fiction"
